stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0,0,0,0.28,0,0,0.56,0,1.97,0,0,0,0,7.05,4.51,0,0.28,0,1.69,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0.37,1.48,0.74,0,1.48,0,0,0,0,0,1.11,0,0,0.74,0,4.81,0,0,0,0,4.44,1.85,0.37,0,0,1.11,0.37,0,0.74,0,0.37,0,0,0,0.37
3Month,0.21,0.21,6.14,0,0,0,0.52,0.42,0.1,1.77,0.42,0,0.94,0.42,3.54,0.73,1.35,0.1,0,0.21,0.31,0.21,0,0.21,0,0,0.1,0.1,2.81,0.1,0,0,0,0.31,0.83,0.83
22Month,0,0.55,1.23,0,0.27,0,0.27,0.14,0,4.51,0.14,0.27,0.41,0.55,0.41,0,1.5,0,0.14,0.27,0,0,0.14,0,0.14,0.27,0,0,0.41,0,0.14,0,0,0,0,0.14
