stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,4,0,0,0
72hpf,0,0,0,0,0,0,0.85,3.1,0,0.28,0
21Day,0.37,0,0,0.37,0.37,0.37,0.37,0.74,0.37,0,0
3Month,0.1,0.1,0.21,0,0,0,0,0,0,0,0.1
