stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,9.86,0,0.56,0.28,0,0,0,0,0,0,0,0,0.56,0.85,0,0.28,0,0,1.97,0.85,0,0.28,0,0,0.28,0.28,0.28,0,0
21Day,7.77,0.37,0.74,0,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0.74,0.37,0,1.85,0,0,0.74,1.11,0.37,0,0,0.37,0,0
3Month,0.62,0.1,0.83,0.1,0.1,0.1,0.42,0.31,0,5.3,0.31,1.14,0.1,0.21,0.52,0.42,0.1,0.1,0.1,0,0.1,0,0,6.66,0,0,0,3.85,0.31
22Month,0,0.14,1.23,0.14,0,0,0.14,0.96,0.27,7.93,0.14,0.82,0,0.41,0.82,0.14,0.14,0,0,0,0.27,0,0.14,3.14,0.27,0,0.14,0,0.14
