stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,5.92,0.28,1.13,0,0,0,0,0,0,0,0,0,3.1,105.69,0,0.85,0,0.28,0,0,9.02,2.54,0,0.56,0,0,0.56,0.28,0.28,0,0,0
21Day,0.74,0,0,19.24,0.37,1.11,0,0.37,0,0,0,0,0,0,0,4.44,59.2,0.37,0.37,0,0,0.37,0,2.22,0.37,0,1.85,0.37,0,0,0,0.74,0,0,0.37
3Month,0,0,0.21,84.15,0.21,0,0.31,0,0.21,0.52,0,2.91,1.14,0.1,1.77,5.51,17.99,0.31,0.73,0.21,0.1,0,0.1,0.73,0,0.31,0.1,0.52,0.62,0,0,0,1.14,0.62,0.73
22Month,0,0.14,0,19.81,0.14,0,0.14,0.14,0.27,0.55,0.27,6.01,0,0.27,0.41,0.82,1.37,0.41,0.68,0,0.41,0,0,0.14,0,0.14,0,0,0,0,0.14,0,0.14,0,0
