stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,1,34,0,4,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,17.19,0.56,0.56,0,0,0,0,0,0,0,0,0,0,5.36,51.01,0,8.46,0,1.13,0,0,7.61,7.05,0,0,0,4.23,0,0.28,0.28,0,1.41,0,0,0
21Day,0.37,0.37,2.59,90.28,0.37,1.85,0,0.74,0,1.11,0,0,2.22,0.37,0.37,5.92,4.44,35.52,1.48,8.88,0,0,1.85,0,4.07,3.7,0.74,0.37,0,2.59,3.7,0.74,1.85,0.37,0.37,0,0,0.37
3Month,0.31,7.07,5.1,96.01,0,0,1.35,0.1,0.1,58.35,3.22,0,88.52,3.54,0.1,161.85,2.5,33.49,3.12,7.8,1.98,0.21,4.26,0.83,0.73,0.1,8.63,0.31,0,0.21,2.91,42.44,0.1,0,0.21,2.08,5.72,1.87
22Month,0.14,4.78,10.11,44.14,0,0,1.09,0,0.14,22,2.05,2.73,120.66,1.09,0.14,138.02,1.09,8.61,2.19,10.39,0,2.46,3.83,0.14,0.68,0.14,7.93,0.41,0.82,0,0.27,9.02,0.41,0,0.68,0,0,0.68
