stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0.37,0.37,0,0,0.37,0,0,0,0,0,0,0,1.48,0,0,0.37,0,0
3Month,0.31,0,0.1,0.1,0.21,0.1,0.1,0,0.21,0.1,0,0.1,0.31,0.1,0.42,0,0.62,0.21
22Month,0,0,0,0,0.82,0.14,0,0,0,0,0.14,0,0.27,0,0.55,0,0,0
