stage,Granulocyte,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
72hpf,0,3.66,0,0.28,0.56,0.28
21Day,0,0.74,0.37,0,1.11,1.48
22Month,0.14,0,0,0,0.14,0
