stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
72hpf,0.56,0.56,0,0.28,0.28,3.66,0.28,0.28,0,0,0
21Day,0,0.37,0.37,0,0,5.55,0.37,0,0.37,0.37,3.33
