stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,10,2,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152,0,0,0,0,9,201,0,0,46,0,0,0,0,0,1,0,0,0
72hpf,11.56,3.1,19.73,10.71,3.66,0,0,0,0,0.56,0,0.28,0,0,0.28,2.54,6.76,0.28,225.48,0,0,3.1,0,29.31,38.33,0,0.28,188.27,0.28,0.28,3.66,0.28,0,4.79,0,0,0
21Day,16.65,1.11,11.1,2.22,4.44,0,0.37,0,0,0,0,0.37,0,1.11,0.74,0.37,2.59,0.37,170.56,0,0,6.29,0.37,11.1,9.99,0,0.37,36.63,5.55,0.37,1.11,0,1.48,1.85,0,0,0.74
3Month,0.1,0.62,12.38,0.62,0,0.1,0,1.04,0.42,0.52,0.21,3.02,0.21,0.1,1.04,0.62,2.6,0.62,32.77,2.5,0,1.46,2.7,0,0.21,0,0,2.7,0.42,17.27,2.29,0,0,0.31,1.35,1.66,1.14
22Month,0.14,2.19,12.71,0.68,0,0.14,0,0.41,0,1.78,2.46,8.2,0.27,0.14,1.23,0.14,0.41,1.64,26.92,0.82,0.14,3.01,0,0.27,0.27,0.41,0.27,0.27,0.14,6.42,7.93,0.14,0,0.41,0.41,0,0.55
