stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.66,1.69,0,0.28,0.56,0,0,0.28,0,0,0,0,0,0,1.41,1.97,0.56,7.05,0,0.56,1.41,0,8.74,13.53,0,0.28,0,4.79,0.56,0,0,2.25,0,0,0.28,0,0,0
21Day,5.55,1.11,0.37,6.66,0,3.7,0,3.33,0.37,0,1.11,1.11,2.59,1.48,0.37,1.48,1.48,17.02,0,0,3.7,0,2.96,8.88,0,1.48,0,3.33,0,0,0,4.44,0.37,0.74,0.37,0,0,0.37
3Month,0.21,0.83,0.21,6.45,0,0,0.1,0.21,1.35,5.82,18.52,2.39,0.73,3.74,1.25,2.39,3.64,8.01,2.5,0,2.7,0.83,0.52,0.21,0.31,1.46,0,0.52,0.42,0.1,19.76,0.31,0,0,0.1,1.56,1.25,3.74
22Month,0.41,2.32,0.14,3.01,0.14,0,0.14,0.14,0.41,3.69,23.09,1.37,1.91,2.73,0.41,0,6.15,7.38,0.41,0.96,0.55,0,0.41,0,0.82,3.01,0.14,0.55,0.27,0,6.15,1.09,0.82,0,0,0.96,0,0.82
