stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,16.35,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,1.69,0.85,0,0.28,0,0,0,0,0
21Day,11.84,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0.37,0.37,0,0.74,0,0
3Month,0.31,0,0,0.42,0.42,0.21,0.42,0,0.21,0.1,0.21,0.31,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0.42
22Month,0,0,0.14,0,0,1.37,0,0,0.55,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0
