stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0.28,3.66,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,2.22,0.37,0,0,0.37,0,1.48,0,0.74,0,0,0
3Month,0,0.62,7.07,0.31,0.42,0,3.02,0.21,3.22,0.73,0.42,0.31,0.42,0.21,0,0.21,0.42,1.56,0.42,0.21,0,0,0.21,62.1,0.21,0,0.42,3.33,0.31
22Month,0.82,0,2.87,0.41,0.41,0.41,11.62,0.41,6.56,0.68,0.55,0.82,1.37,0,0.96,0.14,0,0.68,0.82,0,15.58,0,0,23.5,0.55,0.96,0,0,0.27
