stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0
72hpf,0.85,0,0.28,0,0,0,0.28,0,1.41,0,0,2.25,1.41,0,0
21Day,0.74,0.37,0,0,0,0,0,0,1.85,0.37,0,0.37,0.74,0.37,0.37
22Month,0.14,0,0,0.14,0.82,0.14,0,0.14,0,0,0,0,0,0,0
