stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,1.11,0.74,0,0.37,0,0,0,0.37,3.33,0,0,0.37,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0,11.84
3Month,0,0.21,0,1.14,0,0.21,0,0.1,0.31,0.94,1.04,0.1,0.21,0.21,1.66,0.83,0.52,0,0.21,0.1,0,0,0.1,0.52,0.31,0.1,0.21,0.21,34.85
22Month,0.14,0.41,0,0.14,0,0.27,0,0.14,0.55,2.6,0.41,0.14,0.41,0.14,1.91,0.55,0,0.14,0,0,0,0,0,0.27,0,0,0.14,0,30.34
