stage,Endothelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0.28,0,0,13.81,0.56,0,0.28,0,0,0,0,0.85,0.28,12.97,0
21Day,0,0,0,0,0,0.74,0.74,0,0,1.11,0.74,0,0,0,0.37,0.37,0,0,0,6.66,0
3Month,0,0,0,0,0,0,0.21,0,0,0,0,0.1,0,0,0,0,0.21,0.1,0,0.1,0.1
22Month,0.14,0.27,0,1.09,0.27,0.14,0,0.14,0.14,0,0,0.14,0,1.91,0,0,1.09,0.27,0,0,0
