stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
72hpf,0,0,0.28,0,0,0,0,0,0,10.71,0,0.28,0,0,0.56,0,0
21Day,0.37,1.11,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0
3Month,0,0.31,0,0,0,0.73,0,0.21,0.1,0.1,0.31,0.21,0,0.1,0,0,0.1
22Month,0,0.14,0,0.41,0.14,0.68,0.14,0.27,0.14,0,0,0.14,0.14,0,0,0,0
