stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,45,58,0,254,9,8,0,6,0,7,0,9,2,0,2,0,24,233,424,641,0,1,0,4,126,6624,0,0,0,122,0,0,0,1,0,0,22,0,0,0
72hpf,34.95,16.91,0,72.15,7.33,24.52,0,3.38,0,2.82,0,0.28,1.97,0,13.53,0.85,65.39,100.34,14.66,239.29,0,17.47,3.95,3.66,407.55,1259.86,1.13,1.69,0,121.19,8.17,0,0.56,35.51,1.13,0.56,5.64,0,0,0.28
21Day,96.2,7.03,1.85,237.9,2.59,199.42,0,109.89,1.85,14.43,0.37,0,7.77,5.55,98.79,6.66,11.84,46.62,62.53,263.06,0.37,0.37,11.84,0.37,85.47,436.58,0.74,2.96,0,87.32,27.01,0,5.55,32.93,2.22,9.62,4.81,0.37,0,34.04
3Month,1.35,2.5,4.06,39.84,0.21,0,0.73,2.7,4.16,43.27,0,0,33.49,15.81,4.58,15.6,7.59,7.49,23.61,15.29,2.5,0.31,2.5,22.68,1.46,3.02,0.83,0.52,0,1.25,4.06,0.1,263.68,0.31,0.1,0,0.31,4.58,159.98,22.36
22Month,0.14,3.01,3.14,25.01,0,0,1.64,1.37,8.2,74.06,5.74,0,222.74,9.7,12.85,35.39,1.5,1.91,54.8,9.02,0.27,3.83,1.37,1.09,0.82,0.27,0.41,0.82,0.96,0.27,1.09,0,20.77,0.55,0.68,0,0,0.68,0.68,7.24
