stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Osteoblast
72hpf,0.28,0,0,0.28,1.13,0.56,0
21Day,0.74,0,0.37,0,0.74,0,0.37
3Month,0.62,0.1,0.21,0,0.1,0,0
