stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,1.41,0,0.28,0,0.28,5.92,0.56,0,0.28,0,0.28,0.56,0.28,0,0,0
21Day,0,0,0,1.85,0,0,0.74,0,0.37,0,0.37,0,0.37,0,0,0.74,0.37,0.74,0,0,0.74,0,8.14,0.74,0,0,0,0.74,7.77,0,0,0.37,0.37
3Month,0.1,0.42,0.31,4.58,0.1,0.31,0,0.21,1.87,0,5.2,1.66,0,2.18,0.62,1.25,1.66,0.94,0.62,0,0.21,0.42,0.31,0,0.21,0.21,0,1.66,156.13,0.1,0.83,42.75,0.42
22Month,0,0,0,0.68,0,0,0,0.27,1.37,0.27,2.73,0.14,0,0.41,0,0,0.96,0.14,0,0,0.27,0,0.41,0,0,0,2.05,0.14,23.78,0,0,0.41,0.14
