stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0.28,5.64,0.85,0,0,0,0,16.07,1.69,0,0.28,1.13,0,0,0.56,0,0,0,0
21Day,0,1.11,0,0.37,1.85,0,0,0,0,0,0,0,1.11,0,0,0,16.28,2.96,0,0,0,0,7.4,0.74,0,0.37,0.37,0,0,0.74,0,0,0,0
3Month,0,0.42,0.1,1.04,0.21,0,0.1,0,0.62,0.1,3.22,0.42,0,0.42,0.31,0.1,13.21,0.1,0.21,0,0.52,0.42,0.1,0.21,0.1,0.21,0,0.1,0.94,0.1,0.1,0.21,1.14,0.21
22Month,0,0,0,0.41,0.14,0,0,0.14,0.41,0.14,9.57,0,0,0.82,0.14,0.14,5.19,1.09,0,0.27,0,0,0.14,0,0.14,0.41,0,0.14,0,0.14,0,0,0,0
