stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,3.95,0,0.28,0,0,0.56,0,0,0,8.46,9.58,0,0,0
21Day,1.85,0,2.22,0.37,1.85,0,0.74,0,0,0,0.37,0,0.37,0.37,0.74,2.96,0.37,4.07,0.37,0.74,0,1.48,0.74,0.74,0,0,1.85,1.48,0,0,21.83,93.98,0,0,0
3Month,0.1,0.31,1.56,0,0,0.1,0,0.1,0.31,0,1.25,0.21,0.1,0.52,0.31,0.1,1.66,4.06,0,0,0.31,0.31,0,0.94,0,0,0.1,0.1,1.04,0,1.04,0.1,0.21,0.21,0.1
22Month,0,0.41,1.37,0,0,0,0,0,1.09,0.14,6.01,0,0,1.5,0,0,0.96,1.09,0.27,0.41,0,0,0,3.55,0.27,0.82,0,0.27,0.41,0.55,49.6,0.14,0,0,0
