stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0.31,0.1,0.1,0.52,0.1,0.42,0.1,0.21,0.1,0,0.1,0,0.1,0.52,7.07,0
22Month,0.14,0.14,0,0.14,1.5,0,0.27,0,0,0.14,0.14,0.14,0.14,0,0.55,0,0.14
