stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,42.84,3.38,0,0,0.56,0,0,0.28,0.28,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0,1.11,0.37,1.11,0,0,22.2,3.7,0,1.11,0,1.11,0,0.74,0.37,0.37,0.37,0,0
3Month,0,0.1,0.31,0.1,0,0,0.21,0,1.66,0.21,0.42,0.52,0.31,0.1,0.1,0.1,0.1,0.94,0.1,0.1,0.1,0,0.1,0.21,0,0,0,0,4.37,0.21
22Month,0,0.14,0.41,0,0,0.27,0.41,0.14,4.65,0.55,0.41,0,0.14,0,0.55,0,0,0.27,0,0.82,0.41,0,0,0,0.14,0,0,0,0,0.14
