stage,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
72hpf,0,0,0,0.56,0.28,0.28
22Month,0.14,0.27,0.14,0,0,0
