stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,1.13,2.54,0.28,0,0.56,0,0
21Day,0,1.11,0.74,0.37,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0.37,0.37,0.37,0,0,0.37,0,0.37
3Month,0,0.31,0,0,0,0,0,0.21,0.1,0.1,0.1,0,0.21,0.21,0.21,0.1,0,0.1,0,0,1.98,0,0.21,0.42
22Month,0,0.27,0,0,0.14,0.27,0.14,1.23,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.27
