stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0,0.56,0.28,0,0.28,0,0,0,0,0,0.28,0,0.28,0.85,0,3.38,0,0,12.68,12.4,0,0.28,2.82,0,0,0.56,0.56,0.28,0.85,0,0
21Day,0,1.11,0,4.07,0,5.92,1.48,0,0,0,0,0,1.11,0.74,0.37,1.48,1.48,5.18,0,0,7.4,12.58,0,0.37,2.96,0.74,0,1.85,0.74,1.85,2.96,0,0.37
3Month,0,0.42,0.1,1.46,0,0,0,0.1,1.66,0,1.46,1.56,0.21,0.1,0.1,0.21,0.62,0.31,0,0.31,0.42,0,0.62,0.1,0,0.21,1.14,0.21,0,0,0.21,0.1,0.83
22Month,0,1.78,0,1.91,0,0,0,0,3.83,3.01,2.6,0.96,0.14,0.14,0,0.27,0.55,0.14,0.14,0.14,0.27,0.14,0.82,0,0,0,0.27,0.55,0,0,0,0,0.41
