stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,3.66,5.92,0.56,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,4.81,0.37,0,0,0.37,0,0,0,0
3Month,0,0.1,0.73,0,0.1,0,0.21,0.21,0,0,0,0.1,0,0,0.1,0.21,0.1,0.21
22Month,0,0,0,0,0,0.27,0.82,0.14,0,0,0,0,0,0,0,0,0,0
