stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,70,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,3.38,0,0.85,0,0.56,0,0,0,1.69,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0,4.81,0,5.55,0,2.59,0,0,0,18.87,0,0,0,5.92,0.74,0,0,0.37,0,0.37,0.74,0,0,0,0,0,0.37,0,0,2.96
3Month,0.1,0,2.5,0,0,0.52,0.42,0.1,16.02,0,2.29,18.2,2.81,0.42,0,0.94,22.78,1.14,0.31,0.21,0,0.1,0.1,0,0.31,0,0.52,0.62,0.21,0,0.31,0.42,22.57
22Month,0.82,0.14,1.09,0.14,0,1.37,0.82,0,72.29,0.96,4.78,6.97,5.06,0.41,0.27,0,47.55,0.41,0.14,0.55,0.27,0,0,0,0.14,0.14,0.27,0,0.41,0.14,0,0,18.31
