stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.74,0,0,0,0,0,0,0,1.85,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,4.44
3Month,0.21,0,2.08,0,0.52,0.21,0.21,0.62,0,2.18,0.62,0.52,0.83,0.1,0.83,0.62,0.31,0,0.21,0.1,0.21,0,0,0.21,2.29,0,0.21,2.5,29.12
22Month,0.14,0.55,0.96,0,0.14,0.27,0.14,0.68,0.41,21.45,0.41,0.96,3.01,0,1.09,2.73,0.14,0.68,0.14,0,0,0.14,0.14,0.14,0.14,0,0,0,4.92
