stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,57,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.41,2.82,0.85,0,0,0.28,0,0,0,0,0,0.28,6.76,0,3.1,0,0,0.28,0.28,147.12,28.75,0.56,2.54,9.86,0,0,7.05,0,0,0,0
21Day,1.11,0,0,2.96,2.22,1.85,0,0,0,0,0.74,0,0.74,0.37,0.37,3.33,0.37,3.7,0,0,0.74,0,58.83,16.28,0,1.85,4.44,1.85,0,5.18,0.37,2.59,0,2.22
3Month,0,0.21,0,3.64,0.31,0,0,0.31,0.73,0,1.98,0.42,0,0.83,0.31,0.73,0.42,1.66,0.42,0,0.1,0.31,2.7,0,1.46,0.42,0.42,0.21,1.35,0.42,0,0,1.66,1.77
22Month,0.14,0.27,0.14,2.6,0,0,0.27,0.14,0.82,0.27,15.58,0,0.55,1.64,0.14,0.55,1.64,0.68,0,0.68,0.55,0.14,0.96,0.27,1.23,1.09,0.14,0,4.1,0.82,0.14,0,0,2.73
