stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.97,0.85,0.56,0,0,0,0,0,0.28,1.41,12.4,0,0,0,0,0,0,14.37,1.13,0,0,0.28,0,0,0.28,0,0,0
21Day,0.74,0,0.37,18.13,2.22,0.37,0,0,0,0,0.37,0,3.7,9.62,1.11,0.37,0,0,0,0,12.21,2.59,0.37,0,0.37,1.11,0,0.37,0,0,0.37
3Month,0,0.1,1.35,13.42,0.21,0,1.56,0.21,0.94,0.21,0,5.51,2.29,1.35,1.25,0.31,0.1,0,3.54,0.1,13.73,0,0.62,0,0,0.31,0.83,0,0,0.21,0
22Month,0,0.27,1.37,5.19,0,0,1.5,0.27,1.64,0.14,0,5.19,0.68,0.27,0.68,0.14,0,0.14,2.19,0,7.93,0,1.09,0.14,0,0,0,0,0.27,0,0
