stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,570,1,0,12,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4,126,0,0,0,1,4,88,0,0,4,0,0,0,0,0,0,0,0
72hpf,298.2,0.28,0,1.97,0.28,4.23,0,0.28,0,0,0,0,0,0,0,0,0.28,3.95,0,20.86,0,0,0,0,25.93,17.19,0.28,0,6.2,0,0,0.85,0.28,0.56,0,0,0
21Day,411.06,0,0,8.51,0.74,5.92,0,0.74,0,0.37,0,0,1.85,0,3.7,1.85,0.74,3.33,1.11,32.56,0,0,6.29,0,10.36,8.51,0.37,0.37,4.44,8.51,0,1.85,1.11,1.85,0,0,1.11
3Month,1.87,0.1,0,1.56,0,0,0.1,0,0.31,0.42,0,0,3.22,0.62,0.1,0.83,0.42,0.52,0.62,1.25,0.31,0.1,0.31,0,0,0,0.1,0,0,0,2.08,0.1,0.1,0,0,0.21,0.42
22Month,0.41,0.14,0.14,1.37,0,0,0,0.27,0,0.55,0.41,0,8.88,0.14,0.27,0.82,0,0.14,0.68,0.96,0,0.96,0.14,0,0.14,0,0.14,0,0,0,0.27,0,0,0,0.14,0,0
