stage,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,1,0,0,0,1
72hpf,0,0,0,0,0,0,0,0.28
21Day,0,0,0,1.11,0.37,0,0.37,0
22Month,0.14,0.27,0.14,0,0,0.14,0,0
