stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0.28,0.56,0,0,0.85,0.28,0,0,0.56,0,0
21Day,0,2.22,0,0,0,0,0,0,0.37,0,0,2.22,0.74,0,0,0,0.37,0,0.37,0,0,0.37
3Month,0.1,0.62,0,0,0.1,0.31,0.21,0.42,0,0.1,0,0,0.62,0.21,0.1,0,0,0,0,0,0.21,0.42
22Month,0,0.27,0,0,0,0.27,0.82,0,0.14,0,0,0,0.14,0.14,0,0,0.14,0.14,0,0,0,0.14
