stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0.56,0.56,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,1.14,11.03,0.1,0.42,0.21,0.1,0.1,0.1,0,0,0,3.33,0,0.1,1.66
22Month,0,0,1.5,0,0.14,0,0,0,0,0,0,0,0.55,0.14,0,0
