stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,1,3,33,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.25,1.97,0.28,0,0,0,0,0,0,0,0,0,0.85,1.13,0,1.69,0,0,0,0.28,11.84,11.84,0.56,0,0,1.41,0,0.28,10.71,0.28,0.28,0.56,0,0,0
21Day,1.11,0.37,0,4.07,2.96,1.11,0,0,0,0,0,0,0,0.37,0.37,0.37,1.48,0,2.96,0,0,0,0.37,2.22,3.33,0.37,0,0,1.48,0.37,1.11,2.22,0.37,0,0.74,0,0,0
3Month,0,0.1,0.31,9.78,1.04,0,0.1,0,0.52,0.73,0,4.58,1.04,0.1,1.25,3.02,0.73,0.62,0.52,0.21,0.1,0.31,1.25,1.87,0.42,0.31,0.1,0,0,0.31,13.73,0.1,0.1,0,1.87,0.42,105.47,0.73
22Month,0,0.41,0.27,5.33,0.55,0,0.27,0.14,0.14,0.82,0.27,10.66,0.14,0.41,0.55,0.68,0.27,0.82,1.91,0,1.37,0.27,0.14,1.23,0.41,0.41,0,1.37,0.14,0,3.96,0.27,0.68,0,2.6,0.14,0.55,0.14
