stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.28,0,0.85,0.85,0,0.85,0,0,0,0.28,4.51,2.25,0.28,0,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0,0,0.74,0,0.74,0,0.37,0,0,0,0.74,0,0.74,0.74,1.11,0.37,0,3.7,0,0,0.74,0,2.59,1.48,0.37,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0.42,0,0.83,0,0,0,0,0.21,0.73,0,8.95,0.21,0,1.77,0.1,0.62,0.1,1.04,0.1,0,0.1,0.1,0,0,0,0.21,0.1,0.1,0.1,0,0,0,0.1,0.1
22Month,0,0.14,0.14,0.55,0,0,0.14,0,0.14,0.82,0.41,9.16,0.14,0.14,1.64,0.14,0,0.41,0.55,0.14,0.55,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0
