stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.56,0,0,3.38,0.28,0,0,0,0,0,0,0,19.17,0,0.56,0,0,0,1.41,0.56,0.56,0,1.41,0,0,0
21Day,0,0,0,2.96,0,0.37,0,0,0,0,1.11,0,2.22,0,4.07,0,0,0,0.37,0.37,1.11,0,1.11,0,0,0
3Month,0,0.21,0.1,1.77,0,0,0.1,0.21,0.73,0.21,0,0.21,2.6,0.94,0.52,0.21,0.21,0.1,0,0,0,4.06,0,0.21,3.95,0
22Month,0,0,0.14,0.14,0,0,0,0,1.23,0,0.14,0.41,0.41,0.14,0.27,0,0,0,0.14,0,0,0.82,2.46,0,0,0.14
