stage,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Pancreatic_cell,T_cell
21Day,0,0,0.37,0,0.37,0
3Month,0.1,0.1,0.21,0.1,0,0.1
22Month,0,0.41,0,0,0,0
