stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,2.82,0,0,0,0,2.82,0.85,0,0,3.38,0,0,0,0,0,0
21Day,1.48,0.37,0,1.85,0,1.85,0,1.11,0,0.37,0,0,0,0.74,0.74,1.48,0.37,2.22,6.66,0,0,1.11,0,0.74,0.37,0,0.37,2.22,0,0,0.74,0,0,1.48
3Month,0,0.73,0.1,2.5,0.21,0,0,0,0.1,0.52,0,3.43,0.21,0,16.95,0.21,0.52,0.83,1.66,0.1,0,0.52,0.1,0.1,0,0.1,0.1,0,0.31,1.56,0,1.25,0.73,1.35
22Month,0,0.27,0,0.68,0,0,0.27,0,0,0.55,1.09,8.34,0.14,0.14,9.02,0.14,0.14,1.5,1.91,0,0.27,0.14,0,0,0.14,0.14,0,0.14,0,0.68,0.14,0.14,0,0.41
