stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,46.79,1.41,0,0.28,0,0.28,0.56,0.28,0.85,0,0,0
21Day,0,0,0.37,0.37,0,0.37,0,0,0,0,0,0.74,0,0,0.37,0,0.37,0,15.54,0.74,0,0,0.37,0,1.11,3.7,3.7,0,0,0.74
3Month,0,0,1.56,0,0,0,0,0.31,0,2.08,0.21,0,0.62,0.21,0.31,0.52,0.62,0,0.42,0.1,0,0,0,2.7,0,0,0,0.1,22.05,0.31
22Month,0,0.68,0.68,0,0.41,0,0.14,1.09,0.41,10.11,0.55,0.14,2.19,0.14,0.68,0.68,1.09,0.55,0.14,0,0.14,0.27,0,1.09,0,0,0,0,0,0.41
