stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,10.43,0.56,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,3.7,0,0,0
3Month,0,0,0.1,0,0,0,0,0.21,0,0.21,0,0,0.1,0,0,0.1,0.31,0.62
22Month,0,0.14,0.41,0,0,0.82,0.14,4.37,0.27,0.27,0.14,0.41,0.41,0.41,0,0,0,0
