stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.41,0,0,0,0,0,0.28,0,0,0,0.28,0,1.41,18.32,1.13,0.28,0,0,0,0,3.66,3.1,0.28,0,0,1.69,0,0,0,0,0,0,0,0,0
21Day,1.48,0.37,0.74,35.89,0.37,2.59,0,1.48,0,3.33,0.37,1.85,0.74,14.8,3.33,2.59,19.61,15.17,2.22,0,0,2.22,0,2.96,1.48,0.37,0.37,0,1.11,2.22,0,1.48,0,0.74,0,0,0,12.21
3Month,0.31,1.56,6.66,103.91,0,0,0.94,0.94,21.64,35.16,0,31.73,37.13,4.47,156.96,4.37,26.73,40.36,4.47,0.94,0.1,7.49,3.54,0.73,0.1,1.77,0.21,0,0.42,2.39,0.1,14.15,0.21,0,0.1,3.02,3.33,40.88
22Month,0.14,5.6,7.38,31.02,0,0,0.96,0.96,6.15,77.75,26.78,60.4,33.48,9.43,131.87,2.6,3.55,31.98,14.21,0.27,3.28,4.1,0.14,0.55,0,1.64,0.27,0.27,0,0.55,0,2.73,0.41,0,0,0.55,0,14.48
