stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0,1.04,0.1,0.42,0.42,1.25,0.21,0.42,0.1,0,0.21,0.1,0.1,0.1,0.62
22Month,0,0.14,0.14,0,0.41,0.41,0,0,0.55,0,0.14,0.14,0,0,0,0
