stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0.74,0,0,0,0,0,0,0,6.29,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.1,0,0,0,0,0,0.1,0,7.18,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0.41,4.78,7.65,10.8,0,4.24,0,0.27,2.46,8.34,3.69,2188.17,2.19,0.82,11.62,0.96,2.6,6.15,10.11,31.29,3.42,0.14,0.55,0,1.37,2.73,5.47,0.41,1.23,0.27,0.55,1.78,0.14,3.14
