stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0
3Month,0.1,0.1,0.21,16.85,0.1,0.62,0.21,0.1,0.21,0,0.1,0.1,0,0,0,0.1,0.1,0.1
22Month,0,0,0.14,17.08,0,0,0,0.14,0.14,0.41,0,0,0,0.41,0.14,0,0,0
