stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,225,9,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.56,1.97,0.28,1.69,0,0,0,0,38.9,1.69,0.28,0,0,0.56,0,0,0.28,0,0.56,0,0,0
21Day,2.22,0,0,2.22,0.37,0,0,0,0,0,0,0.37,0,0.74,0,0,2.59,1.48,4.07,0,0,0,0,5.55,0.37,0.37,0,0,1.85,0,0,0,0,0,0,0,0.37
3Month,0.1,0.1,0.42,5.41,0,0.31,0.1,1.04,0.94,0,0,33.29,1.56,0.1,3.85,0.94,2.08,2.91,3.33,1.35,0,0.1,0.21,0.52,0,0.21,0.1,0,0,0.52,1.98,0,0,0,0.21,0.52,0.94
22Month,0,0.27,0.41,0.82,0,0,0.14,0.68,2.46,0.27,0,29.79,0.55,0.27,2.46,0.14,0.55,3.28,1.91,0.27,0.14,0.55,0,0.55,0.14,0,0.14,0.14,0.27,0.27,0.55,0,0.14,0,0,0,0.41
