stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,2,3,0,0,0,0,0,1,0,3,0,0,1,44,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0,0.56,1.13,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0
3Month,0,0.73,0.31,0.1,0.83,0.42,0.1,0.31,0.1,0.42,0,0.21,0,0.1,1.46,0.21,0.1
22Month,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0
