stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0.56,1.13,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0,0,0.37,0,1.11,0.37,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0
3Month,0.1,0.31,0.21,5.2,0.42,0.1,0.52,1.66,0,10.61,2.5,0.52,3.74,0.73,1.35,2.39,2.6,0.42,0,1.46,0.73,0.52,0.1,0.21,0,0,0.1,0.31,51.59,0.1,0,0.83,41.92,0.73
22Month,0,1.78,0.27,3.14,0.82,0,0.41,3.28,4.92,33.75,2.05,0.96,1.91,0.41,0.55,2.32,4.65,0,1.23,0.55,0,0.14,0,0.41,0.41,30.47,0.14,0,18.99,0.82,0.14,0.27,0,0.68
