stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0.28,0,0,0,0.28,1.41,1.41,0.28,0,0,0.28,0
21Day,0.74,1.48,0.37,0,0,0,0,0,0.37,0,0.37,0.37,0,1.48,1.11,0,0.37,0,0.37,0
3Month,0,2.18,0,0.1,0.1,0.21,0.42,0.1,0.31,0.21,0.1,0.31,0,0,0,0,0,4.58,0,1.66
