stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,1.13,0,0.85,1.13,0,0,0
21Day,0,0,0,0,1.85,0,1.48,1.48,0.37,0,0
3Month,0,0.21,0.52,0,1.04,0,0.1,0.1,0.52,0.1,2.81
22Month,0,0.14,0,0.14,0.27,0.14,0,0,0,0,0
