stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,15,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1.13,1.97,0,0,0,0.85,0,0.28,0.56,0.56,0,0,0
21Day,0.37,0,0,1.85,1.48,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,1.48,0,0,0.37,0,0.37,1.48,0,0,0,0.37,0,0.37,0.37,0,0,0,0.74
3Month,0.1,0.31,0.94,4.99,0,0.1,0.31,0.1,0.94,0.42,0,31.41,1.25,0.1,4.06,0.42,1.14,1.46,1.98,1.25,0.1,0.94,0.42,1.66,0.1,0.21,0.62,0,0.21,0.31,26.11,0,0,0.21,5.72,0.73
22Month,0,0.55,0.27,0.96,0,0.14,0,0,0.41,0.41,0.68,40.31,0.27,0.41,5.06,0,0.68,0.82,1.23,0.14,0.96,0.27,0.14,0.55,0.14,0.14,0.55,0.27,0.14,0.27,7.93,0.14,0,0,0,0.27
