stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,7,0,28,1,0,0,1,0,0,0,0,1,0,0,0,0,3,12,13,44,0,0,0,0,19,438,0,0,11,0,0,1,0,1,0,0,0
72hpf,3.66,1.41,0,3.95,0.28,1.13,0,0.28,0,0,0,0.28,0,0,0,0.28,0,2.25,10.15,0,13.25,0,0.28,0.85,0.28,19.73,27.62,0.56,0.28,9.86,0.28,0,1.69,0,1.69,0,0,0
21Day,7.77,0.37,0,9.25,0,1.11,0,1.85,0,0,0.37,0,0,0.37,0,2.22,0.37,0.37,2.59,2.22,15.54,0,0,1.85,0.37,5.92,13.32,0,1.11,4.81,1.85,0,2.22,0.37,1.11,0,0,1.11
3Month,0,0.42,0.42,4.78,0,0,0.1,0.31,0.1,0.62,0.94,0,0,5.62,0.73,0.52,0.83,0.42,2.39,0.83,2.18,0.31,0,0.62,0.42,0.1,0,0.42,0.52,0.21,0.21,1.66,0,0,0,0.42,0.21,1.14
22Month,0.14,1.09,0.55,9.29,0.14,0,0.41,0.68,0,0.68,3.83,2.46,0,43.45,1.78,1.91,7.11,0.27,1.5,4.37,12.57,0.41,0.82,0.68,0.14,0.55,0.14,0.68,1.37,0.68,0,0.82,0.27,0.27,0.14,0.55,0,1.09
