stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,1,3,0,0,0,0,0,0,0
72hpf,0,0,4.23,0.56,0,0,0,0,0,0,0,0.28,38.61,0,1.41,0,0,3.1,1.13,0.56,0.28,0,0.28,0,0,0
21Day,1.11,0,33.67,0.74,0,0.37,0,0,0.37,0,0,1.48,58.09,0,0.74,0.37,0,1.85,0.74,0,1.48,0,0.37,0,0,0
3Month,0,0.1,31.83,0,0.1,0,0.1,0.31,0.52,0.1,0.62,0.31,0.31,0.31,0.21,0,0.1,0,0,0,0.21,0.42,0,0.21,0.21,0.21
22Month,0,0,2.19,0,0.14,0,0,0,0.41,0,0.41,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0
