stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,29,1,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0.28,0,0.28,1.41,0,0.56,0,8.17,3.66,1.13,0,0,0,0,0
21Day,0.74,0,1.48,1.48,0.74,0.37,0.37,0.37,1.11,0,0.37,0,0,0,1.11,3.7,2.59,1.11,0,0.37,0.37,0,0
3Month,0,0.31,0.21,0,0,0,0.31,0,0,0.1,0,0.31,0,0,0.1,0,0,0.1,0.31,0,0,0.1,0.31
22Month,0,0,0.27,0,0,0,1.78,0,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0
