stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0.28,0,0,0,0,0
3Month,0.52,2.39,0.21,2.5,0.1,0.42,0.31,27.88,0.21,0,0.31,0.21,0.1,0.1,0.31,0,0.1,0,0.1,0.1,0.1
22Month,0.68,0.27,0,1.23,0,0.55,0,12.16,0,0,0,0,0,0.14,0,0,0.14,0.14,0,0,0
