stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,7,0,0,0,0,0,0,0,0,0,14,0,0,1,63,0,0,3,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,1.85,1.11,0,0,0,0.37,0,0,0.37,0,0
3Month,0,0.1,3.95,0.1,0.31,0.52,2.6,2.39,1.14,0.1,1.25,0.62,0.21,0.1,0.21,0.1,0,0.1,0.21,0,0,5.2,0.1,0,1.25,0.62
