stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
72hpf,0.28,1.69,0.28,0.28,0,0,0,0,0,0,3.95,0.28,1.13,0,0.56,0.28,0,6.48,0,0,0
21Day,0.37,2.59,0,0,0.37,0,0,0,0,0,1.11,0,2.59,0.37,1.11,0.37,0,0.74,0,0,0
3Month,0,0.52,0,0,0,0.1,0.1,3.54,0.1,0.1,2.29,0.1,0.62,0,0,0,0,0,0.1,0.1,0.1
22Month,0,0,0,0,0,0,0,1.91,0,0.14,0.14,0,0.14,0,0,0,0.14,0,0,0,0.27
