stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Osteoblast,Primordial_germ_cell,T_cell
21Day,0,0.37,0,0,0,0,0,1.11,0,0,0,0.37,0,0
3Month,0,4.26,0.1,1.46,0.1,0.42,0,2.29,0,0.21,0,0,0.1,0.1
22Month,0.14,3.83,0.14,2.6,0.14,0,0.14,1.91,0.27,0.27,0.14,0.14,0,0.14
