stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,28,0,2,0,0,0,0,0
72hpf,0.28,0,0.85,0.28,0,0,0,0,0,0,0.85,1.69,0.28,3.95,49.89,6.2,0.56,1.13,0,1.69,0,0,0
21Day,2.22,0,0.74,0.37,0.37,0,0,0,0,0,0,0.37,0,2.59,10.36,1.48,0,0.37,0.37,0.37,0,0,0
3Month,0,0.1,3.12,0,0,0.21,0.73,0.21,0.1,0.42,0.1,0.31,0.21,0.73,0.1,0.1,0.1,0.1,21.53,0,0.21,6.35,0.62
22Month,0,0,0.82,0,0,0.41,0.41,0,0,0,0,0,0.14,0.14,0,0,0,0,0.82,0.27,0,0,0
