stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.41,3.38,0,0,1.13,0,0,0,0,0,4.23,0,0.85,6.76,0.85,2.25,0,0.56,0,9.3,1.13,0.28,0.28,0,2.82,0,0.28,0,0,0,0,0,0,0.28
21Day,0.37,0,0.37,11.84,0.74,1.11,0,0.37,0,1.11,0,0,0.74,39.59,0.74,0.74,3.7,12.95,5.18,0,0.74,0,5.92,2.96,0.74,0,0,1.48,1.85,2.22,0.37,0.37,1.11,0,0,0,31.45
3Month,0.1,0.31,0.21,37.55,0.31,0,0.83,1.04,1.04,7.91,0,4.99,10.82,2.91,3.54,1.66,3.95,27.88,1.87,0.52,0.42,0.94,3.12,0.1,1.46,0.31,0,0.1,1.04,13,0.21,0,0,0.1,0.52,1.46,92.99
22Month,0,0.68,0.14,7.65,0,0,0.14,0.14,0.82,8.06,0.14,6.42,5.88,4.37,2.32,0.27,0.82,27.74,2.46,0,0.14,0,0.96,0.27,1.23,0.14,0.41,0,0.41,11.34,0.41,0,0,0,0,0,34.03
