stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0.28,0,0,0
21Day,0,1.85,0,0,0,0.37,0,0
3Month,0.1,2.29,0.1,0.1,0,0,0.1,0.1
