stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0.28,3.38,0,0.28,1.69,0,3.38,0,0.56,0
21Day,0,0.37,1.11,0,0,0,0,10.73,0.37,0.74,0.37,0,3.7,0,0.74,0.37
3Month,0,0.21,0,0.21,0.31,0.1,0.1,2.39,0,0,0,0.1,0,0.21,0,0
22Month,0,0.14,0,0,0.14,0.14,0,0.55,0,0,0,0,0,0.14,0,0
