stage,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,T_cell
72hpf,0,0,0.28,0,0.28,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0.37,1.48
3Month,0.1,0,0,0.1,0,0,0,0,1.56
22Month,2.87,0.14,0,0,0,0,0.14,0,0.55
